HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,PROJECTCODE,EAST,NORTH,RL,DEPTH,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,DDHName,PlannedHoleID,Geologist1,Geologist2,DrillholeStatus,HolePurposeComment,HoleGeneralComment,Drillhole_Coordinateset_D,Drillhole_Best_X_D,Drillhole_Best_Y_D,Drillhole_Best_Z_D,MapSection,LocationGridName,XGridLine,YGridLine,BestGridName_D,WedgeHole,StartDrillingDepth
CIG___187_A_,58.0715415,-104.5364468,WCI,527346.3,6436768.1,482.4,444.5,ML 5463,CIGAR,20-nov-85,02-Dec-1985,WDG1_187A,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527346.3,6436768.1,482.4,074I02,DG1,L8+34E,L0+67N,NAD83_UTMZ13N,,
CIG___188___,58.07475764,-104.5151167,WCI,528602,6437135,456.3,470,ML 5463,CIGAR EAST,04-Apr-1986,08-Apr-1986,WQS2_188,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,528602,6437135,456.3,074I02,QS2,L20+19E,L4+4N,NAD83_UTMZ13N,,
CIG___189___,58.07472772,-104.5073185,WCI,529062,6437135,456.5,448,ML 5463,EASTERN CIGAR TREND,09-Feb-1986,12-Feb-1986,WQS2_189,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,529062,6437135,456.5,074I02,QS2,L21+96E,L14+25N,NAD83_UTMZ13N,,
CIG___190___,58.07445716,-104.507034,WCI,529079,6437105,456.5,446,ML 5463,EASTERN CIGAR TREND,13-Feb-1986,16-Feb-1986,WQS2_190,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,529079,6437105,456.5,074I02,QS2,L22+30E,L14+17N,NAD83_UTMZ13N,,
CIG___191___,58.07527094,-104.50843,WCI,528996,6437195,456.4,434,ML 5463,EASTERN CIGAR TREND,16-Feb-1986,20-Feb-1986,WQS2_191,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,528996,6437195,456.4,074I02,QS2,L21+7E,L14+18N,NAD83_UTMZ13N,,
CIG___192___,58.07616985,-104.4993811,WCI,529529,6437299,456.5,446,ML 5463,EASTERN CIGAR TREND,20-Feb-1986,25-Feb-1986,WQS2_192,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,529529,6437299,456.5,074I01,QS2,L24+45E,L18+34N,NAD83_UTMZ13N,,
CIG___193___,58.07146354,-104.537487,WCI,527285,6436759,486.4,236,ML 5463,CIGAR,26-Feb-1986,03-mars-86,WDG1_193,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527285,6436759,486.4,074I02,DG1,L7+75E,L0+56N,NAD83_UTMZ13N,,
CIG___193_A_,58.07146354,-104.537487,WCI,527285,6436759,486.4,524,ML 5463,CIGAR,26-Feb-1986,03-mars-86,WDG1_193A,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527285,6436759,486.4,074I02,DG1,L7+75E,L0+56N,NAD83_UTMZ13N,,
CIG___194___,58.0792993,-104.5384199,WCI,527224,6437631,457.6,472,ML 5463,TIBIA LAKE,27-Feb-1986,02-mars-86,WQS2_194,,C. Marcotte,C. Marcotte,Complete,,Tables updated 10-2006. Hole relogged in summer   All tables entered with data from original log.  Fracture density corresponds to recorded fracture orientations in original log.  Thus fracture densities may not correspond to original geology.,NAD83_UTMZ13N_LEGACY,527224,6437631,457.6,074I02,QS2,L7+15E,L9+37N,NAD83_UTMZ13N,,
CIG___195___,58.07137963,-104.5366405,WCI,527335,6436750,486.8,457,ML 5463,CIGAR,03-mars-86,11-mars-86,WDG1_195,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,527335,6436750,486.8,074I02,DG1,L8+25E,L0+48N,NAD83_UTMZ13N,,
CIG___196___,58.07127474,-104.5374386,WCI,527288,6436738,483.9,464,ML 5463,CIGAR,06-mars-86,16-mars-86,WDG1_196,,M. Raynal,D. Laidlaw,Complete,,,NAD83_UTMZ13N_LEGACY,527288,6436738,483.9,074I02,DG1,L7+77E,L0+35N,NAD83_UTMZ13N,,
CIG___197___,58.07165806,-104.5366369,WCI,527335,6436781,482.7,449,ML 5463,CIGAR,11-mars-86,16-mars-86,WDG1_197,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527335,6436781,482.7,074I02,DG1,L8+24E,L0+78N,NAD83_UTMZ13N,,
CIG___198___,58.0718046,-104.5374148,WCI,527289,6436797,484.7,467,ML 5463,CIGAR,16-mars-86,20-mars-86,WDG1_198,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527289,6436797,484.7,074I02,DG1,L7+78E,L0+96N,NAD83_UTMZ13N,,
CIG___199___,58.07117293,-104.5366092,WCI,527337,6436727,484.4,473,ML 5463,CIGAR,17-mars-86,21-mars-86,WDG1_199,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527337,6436727,484.4,074I02,DG1,L8+26E,L0+26N,NAD83_UTMZ13N,,
CIG___200___,58.0807365,-104.5854719,WCI,524448,6437773,477.5,549,ML 5463,CIGAR NORTH,20-mars-86,23-mars-86,WQS3_200,,Unknown,,Complete,,,NAD83_UTMZ13N_TOPO,524448,6437773,477.5,074I02,QS3,L17+93E,L5+96N,NAD83_UTMZ13N,,
CIG___201___,58.08009633,-104.5377653,WCI,527262,6437720,459.7,452,ML 5463,TIBIA LAKE,21-mars-86,24-mars-86,WQS2_201,,C. Marcotte,D. Laidlaw,Complete,,,NAD83_UTMZ13N_LEGACY,527262,6437720,459.7,074I02,QS2,L7+43E,L10+43N,NAD83_UTMZ13N,,
CIG___202___,58.2133254,-104.4555673,WCI,531990,6452589,459.9,502,ML 5463,KELLY BAY,22-mars-86,26-mars-86,WQS4_202,,D. Laidlaw,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,531990,6452589,459.9,074I01,QS4,L30+0E,L3+80N,NAD83_UTMZ13N,,
CIG___203___,58.08343855,-104.6018893,WCI,523478,6438068,481.5,542,ML 5463,CIGAR NORTH,28-mars-86,30-mars-86,WQS3_203,,Unknown,,Complete,,,NAD83_UTMZ13N_TOPO,523478,6438068,481.5,074I02,QS3,L6+00E,L8+25N,NAD83_UTMZ13N,,
CIG___204___,58.08149081,-104.5285737,WCI,527803,6437879,456.3,461,ML 5463,TIBIA EAST,24-mars-86,28-mars-86,WQS2_204,,,,Complete,,Tables updated 10-2006. Hole relogged in summer   All tables entered with data from original log.  Fracture density corresponds to recorded fracture orientations in original log.  Thus fracture densities may not correspond to original geology.,NAD83_UTMZ13N_LEGACY,527803,6437879,456.3,074I02,QS2,L12+88E,L11+79N,NAD83_UTMZ13N,,
CIG___205___,58.20303482,-104.5001668,WCI,529378,6451423,486.5,501.2,ML 5463,KELLY BAY,27-mars-86,29-mars-86,WQS4_205,,D. Laidlaw,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,529378,6451423,486.5,074I02,QS4,L3+96E,L7+94S,NAD83_UTMZ13N,,
CIG___206___,58.08024102,-104.5380347,WCI,527246,6437736,464.2,446,ML 5463,TIBIA LAKE,27-mars-86,01-Apr-1986,WQS2_206,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,527246,6437736,464.2,074I02,QS2,L10+36N,L7+33E,NAD83_UTMZ13N,,
CIG___207___,58.06960316,-104.5786002,WCI,524861,6436536,471.8,530,ML 5463,CIGAR WEST,28-mars-86,01-Apr-1986,WQS3_207,,Unknown,,Complete,,,NAD83_UTMZ13N_GPS_F,524861,6436536,471.8,074I02,QS3,L19+98E,L7+02S,NAD83_UTMZ13N,,
CIG___208___,58.08524818,-104.4528725,WCI,532264,6438331,456.3,446,ML 5463,EASTERN CIGAR TREND,31-mars-86,03-Apr-1986,WQS2_208,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,532264,6438331,456.3,074I01,QS2,L45+99N,L35+29E,NAD83_UTMZ13N,,
CIG___209___,58.07667284,-104.4836234,WCI,530458,6437362,456.4,425,ML 5463,EASTERN CIGAR TREND,01-Apr-1986,03-Apr-1986,WQS2_209,,D. Laidlaw,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,530458,6437362,456.4,074I01,QS2,L26+1N,L29+99E,NAD83_UTMZ13N,,
CIG___210___,58.07256595,-104.5782093,WCI,524882,6436866,470,539,ML 5463,CIGAR WEST,02-Apr-1986,06-Apr-1986,WQS3_210,,C. Marcotte,C. Marcotte,Complete,,Elevation changed by -2.445 m to match elevation recorded by differential GPS for WC-500 (winter 2016 drillhole).,NAD83_UTMZ13N_TOPO,524882,6436866,470,074I02,QS3,L16+58E,L1+89S,NAD83_UTMZ13N,,
CIG___211___,58.07108638,-104.5375088,WCI,527284,6436717,487,470,ML 5463,CIGAR,05-Apr-1986,09-Apr-1986,WDG1_211,,C. Marcotte,C. Marcotte,Complete,,,NAD83_UTMZ13N_LEGACY,527284,6436717,487,074I02,DG1,L7+74E,L0+15N,NAD83_UTMZ13N,,
CIG___212___,58.08214478,-104.5915536,WCI,524088.381,6437927.602,480.599,527,ML 5463,CIGAR NORTH,03-juil-86,11-juil-86,WQS3_212,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_DGPS_F,524088.381,6437927.602,480.599,074I02,QS3,L12+37E,L7+05N,NAD83_UTMZ13N,,
CIG___213___,58.06974586,-104.5386407,WCI,527218.25,6436567.3,489,500,ML 5463,DG1,12-juil-86,16-juil-86,WDG1_213,,R. St-Jean,R. St-Jean,Complete,Shaft No.1 pilot hole,,NAD83_UTMZ13N_LEGACY,527218.25,6436567.3,489,074I02,DG1,L7+00E,L1+30S,NAD83_UTMZ13N,,
CIG___213A__,58.06976172,-104.5388023,WCI,527208.7,6436569,483.51,38,ML 5521,CIGAR,01-janv-86,01-janv-86,CIG-213A,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_GPS_F,527208.7,6436569,483.51,074I02,,,,NAD83_UTMZ13N,,
CIG___214___,58.07064567,-104.5373492,WCI,527293.75,6436668,487.2,461,ML 5463,DG1,25-janv-87,01-Feb-1987,WDG1_214,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527293.75,6436668,487.2,074I02,DG1,L7+75E,L0+30S,NAD83_UTMZ13N,,
CIG___215___,58.07028887,-104.5377844,WCI,527268.35,6436628.1,488.2,497,ML 5463,DG1,26-janv-87,03-Feb-1987,WDG1_215,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527268.35,6436628.1,488.2,074I02,DG1,L7+50E,L0+70S,NAD83_UTMZ13N,,
CIG___216___,58.06993693,-104.5377776,WCI,527269.02,6436588.92,488.35,500,ML 5463,DG1,03-Feb-1987,11-Feb-1987,WDG1_216,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527269.02,6436588.92,488.35,074I02,DG1,L7+50E,L1+09S,NAD83_UTMZ13N,,
CIG___217___,58.07039321,-104.5373305,WCI,527295.05,6436639.9,487.2,470,ML 5463,DG1,21-Feb-1987,03-mars-87,WDG1_217,,H. Lavoie,H. Lavoie,Complete,,,NAD83_UTMZ13N_LEGACY,527295.05,6436639.9,487.2,074I02,DG1,L7+77E,L0+58S,NAD83_UTMZ13N,,
CIG___218___,58.07135687,-104.537546,WCI,527281.6,6436747.1,490.1,400,ML 5463,DG1,27-Feb-1987,27-Feb-1987,WDG1_218,,H. Lavoie,H. Lavoie,Complete,geology=description of cuttings every 2 m from 50m-400m; cuttings consist of mixed materials(wood chips/cellophane/plastic) in the mud to restore fluid circulation,,NAD83_UTMZ13N_LEGACY,527281.6,6436747.1,490.1,074I02,WDG1,L7+72E,L0+45N,NAD83_UTMZ13N,,
CIG___219___,58.07245835,-104.5348329,WCI,527440.8,6436870.83,471.7,426,ML 5463,CIGAR,19-May-1989,19-May-1989,219,,R. Middleton,R. Middleton,Complete,,BARREN. Structure is very detailed with abundant measuerments that do not appear representative of photos within the log,NAD83_UTMZ13N_LEGACY,527440.8,6436870.83,471.7,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___220___,58.07140231,-104.5422931,WCI,527001.53,6436750.25,495.54,439.9,ML 5463,CIGAR,01-juin-89,18-juin-89,220,,R. Middleton,R. Middleton,Complete,,WELL MINERALIZED - start date not confirmed,NAD83_UTMZ13N_LEGACY,527001.53,6436750.25,495.54,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___221___,58.06998247,-104.5384969,WCI,527226.55,6436593.7,489.86,532.5,ML 5463,CIGAR,30-mars-90,10-Apr-1990,221,,,,Complete,,WELL MINERALIZED,NAD83_UTMZ13N_LEGACY,527226.55,6436593.7,489.86,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___222___,58.06998247,-104.5384969,WCI,527226.55,6436593.7,489.86,532.5,ML 5463,CIGAR,11-Apr-1990,21-Apr-1990,222,,,,Complete,,WELL MINERALIZED,NAD83_UTMZ13N_LEGACY,527226.55,6436593.7,489.86,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___223___,58.07011329,-104.5376663,WCI,527275.45,6436608.6,489.79,526.4,ML 5463,CIGAR,22-Apr-1990,30-Apr-1990,223,,,,Complete,,WELL MINERALIZED,NAD83_UTMZ13N_LEGACY,527275.45,6436608.6,489.79,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___224___,58.07011329,-104.5376663,WCI,527275.45,6436608.6,489.79,535.5,ML 5463,CIGAR,30-Apr-1990,11-May-1990,224,,,,Complete,,WELL MINERALIZED,NAD83_UTMZ13N_LEGACY,527275.45,6436608.6,489.79,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___225___,58.07155946,-104.5356798,WCI,527391.53,6436770.41,480.59,480,ML 5463,CIGAR,17-Aug-1992,29-Aug-1992,225,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527391.53,6436770.41,480.59,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___225_A_,58.07155946,-104.5356798,WCI,527391.53,6436770.41,480.59,429,ML 5463,CIGAR,30-Aug-1992,05-sept-92,225A,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527391.53,6436770.41,480.59,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___225_B_,58.07155946,-104.5356798,WCI,527391.53,6436770.41,480.59,430,ML 5463,CIGAR,05-sept-92,08-sept-92,225B,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527391.53,6436770.41,480.59,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___226___,58.0715315,-104.5353047,WCI,527413.68,6436767.45,480.85,82,ML 5463,CIGAR,08-sept-92,09-sept-92,226,,,,Complete,,ABANDONED,NAD83_UTMZ13N_LEGACY,527413.68,6436767.45,480.85,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___227___,58.071555,-104.5348769,WCI,527438.9,6436770.24,481.78,476.5,ML 5463,CIGAR,10-sept-92,21-sept-92,227,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.9,6436770.24,481.78,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___227_A_,58.071555,-104.5348769,WCI,527438.9,6436770.24,481.78,426,ML 5463,CIGAR,22-sept-92,23-sept-92,227A,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.9,6436770.24,481.78,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___227_B_,58.071555,-104.5348769,WCI,527438.9,6436770.24,481.78,426,ML 5463,CIGAR,24-sept-92,25-sept-92,227B,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.9,6436770.24,481.78,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___227_C_,58.071555,-104.5348769,WCI,527438.9,6436770.24,481.78,426,ML 5463,CIGAR,26-sept-92,28-sept-92,227C,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.9,6436770.24,481.78,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___228___,58.07130488,-104.5336066,WCI,527514.03,6436742.91,496.38,463,ML 5463,CIGAR,28-sept-92,10-oct-92,228,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527514.03,6436742.91,496.38,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___228_A_,58.07130488,-104.5336066,WCI,527514.03,6436742.91,496.38,443.5,ML 5463,CIGAR,11-oct-92,12-oct-92,228A,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527514.03,6436742.91,496.38,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___228_B_,58.07130488,-104.5336066,WCI,527514.03,6436742.91,496.38,442.5,ML 5463,CIGAR,12-oct-92,14-oct-92,228B,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527514.03,6436742.91,496.38,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___228_C_,58.07130488,-104.5336066,WCI,527514.03,6436742.91,496.38,442.5,ML 5463,CIGAR,15-oct-92,18-oct-92,228C,,,,Complete,,MINERALIZED,NAD83_UTMZ13N_LEGACY,527514.03,6436742.91,496.38,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___229___,58.06929753,-104.5386556,WCI,527217.71,6436517.38,489.65,502,ML 5463,CIGAR,13-juil-94,21-juil-94,229,,,,Complete,,BARREN,NAD83_UTMZ13N_LEGACY,527217.71,6436517.38,489.65,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___230___,58.0714652,-104.5348815,WCI,527438.7,6436760.24,483.4,447,ML 5463,CIGAR,20-Aug-1998,31-Aug-1998,230,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.7,6436760.24,483.4,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___230_A_,58.0714652,-104.5348815,WCI,527438.7,6436760.24,483.4,428.5,ML 5463,CIGAR,08-sept-98,09-sept-98,230A,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.7,6436760.24,483.4,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___230_B_,58.0714652,-104.5348815,WCI,527438.7,6436760.24,483.4,428.5,ML 5463,CIGAR,09-sept-98,12-sept-98,230B,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.7,6436760.24,483.4,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___230_C_,58.0714652,-104.5348815,WCI,527438.7,6436760.24,483.4,428,ML 5463,CIGAR,12-sept-98,16-sept-98,230C,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527438.7,6436760.24,483.4,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___231___,58.0714395,-104.5339442,WCI,527494.01,6436757.76,490.8,456.5,ML 5463,CIGAR,19-sept-98,27-sept-98,231,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527494.01,6436757.76,490.8,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___231_A_,58.0714395,-104.5339442,WCI,527494.01,6436757.76,490.8,438.5,ML 5463,CIGAR,27-sept-98,29-sept-98,231A,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527494.01,6436757.76,490.8,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___231_B_,58.0714395,-104.5339442,WCI,527494.01,6436757.76,490.8,438.5,ML 5463,CIGAR,30-sept-98,05-oct-98,231B,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527494.01,6436757.76,490.8,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___231_C_,58.0714395,-104.5339442,WCI,527494.01,6436757.76,490.8,444.5,ML 5463,CIGAR,06-oct-98,09-oct-98,231C,,,,Complete,,STRLY. MINERALIZED,NAD83_UTMZ13N_LEGACY,527494.01,6436757.76,490.8,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___232___,58.06934957,-104.5353036,WCI,527415.42,6436524.53,502.2,518,ML 5463,CIGAR,17-juil-99,05-Aug-1999,232,,,,Complete,Shaft No.2 pilot hole,BARREN,NAD83_UTMZ13N_LEGACY,527415.42,6436524.53,502.2,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CIG___233___,58.06888675,-104.5386465,WCI,527218.56,6436471.65,489.61,510,ML 5521,CIGAR,16-janv-02,25-janv-02,233,,,,Complete,,BARREN,NAD83_UTMZ13N_LEGACY,527218.56,6436471.65,489.61,074I02,CIGAR_MINE,,,NAD83_UTMZ13N,,
CL-170A,58.07145255,-104.5675278,WCI,525512.879,6436746.029,477,500,ML 5521,CIGAR,01-janv-85,,CL-170A,,Unknown,,Complete,,CIGAR,NAD83_UTMZ13N_LEGACY,525512.879,6436746.029,477,,,,,NAD83_UTMZ13N,,
CL-422,58.07049786,-104.5580377,WCI,526073.405,6436643.366,464.81,531,ML 5521,CIGAR,01-Feb-2012,,CL-422,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526073.405,6436643.366,464.81,,,,,NAD83_UTMZ13N,,
CL490,58.07002273,-104.5652673,WCI,525647.253,6436587.7,476.448,540,ML 5521,CIGAR,06-Feb-2016,,CL490,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525647.253,6436587.7,476.448,,,,,NAD83_UTMZ13N,,
CL491,58.0700395,-104.5585479,WCI,526043.638,6436592.139,464.395,536,ML 5521,CIGAR,13-Feb-2016,,CL491,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526043.638,6436592.139,464.395,,,,,NAD83_UTMZ13N,,
CL492,58.07013883,-104.5568121,WCI,526145.969,6436603.869,464.222,532,ML 5521,CIGAR,20-Feb-2016,,CL492,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526145.969,6436603.869,464.222,,,,,NAD83_UTMZ13N,,
CL493,58.0700395,-104.558548,WCI,526043.635,6436592.139,464.395,510,ML 5521,CIGAR,20-Feb-2016,,CL493,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526043.635,6436592.139,464.395,,,,,NAD83_UTMZ13N,,
CL494,58.07012848,-104.5543164,WCI,526293.204,6436603.686,464.677,510,ML 5521,CIGAR,29-Feb-2016,,CL494,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526293.204,6436603.686,464.677,,,,,NAD83_UTMZ13N,,
CL495,58.0701297,-104.5568213,WCI,526145.429,6436602.848,464.18,505,ML 5521,CIGAR,02-mars-16,,CL495,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526145.429,6436602.848,464.18,,,,,NAD83_UTMZ13N,,
CL496A,58.07045052,-104.5543805,WCI,526289.184,6436639.514,464.22,543,ML 5521,CIGAR,11-mars-16,,CL496A,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526289.184,6436639.514,464.22,,,,,NAD83_UTMZ13N,,
CL497,58.07004585,-104.5562815,WCI,526177.337,6436593.722,464.245,507,ML 5521,CIGAR,12-mars-16,,CL497,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526177.337,6436593.722,464.245,,,,,NAD83_UTMZ13N,,
CL497_1,58.07004585,-104.5562815,WCI,526177.337,6436593.722,464.245,504,ML 5521,CIGAR,20-mars-16,,CL497_1,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526177.337,6436593.722,464.245,,,,,NAD83_UTMZ13N,,
CL498,58.07045227,-104.5543743,WCI,526289.549,6436639.711,464.239,504,ML 5521,CIGAR,21-mars-16,,CL498,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526289.549,6436639.711,464.239,,,,,NAD83_UTMZ13N,,
CL499,58.06974487,-104.5562664,WCI,526178.449,6436560.219,464.539,504,ML 5521,CIGAR,28-mars-16,,CL499,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526178.449,6436560.219,464.539,,,,,NAD83_UTMZ13N,,
CL500,58.07002836,-104.5537708,WCI,526325.464,6436592.752,464.535,530,ML 5521,CIGAR,29-mars-16,,CL500,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526325.464,6436592.752,464.535,,,,,NAD83_UTMZ13N,,
CL501,58.0704574,-104.5605276,WCI,525926.547,6436637.903,467.682,513,ML 5521,CIGAR,05-Apr-2016,,CL501,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525926.547,6436637.903,467.682,,,,,NAD83_UTMZ13N,,
CL502B,58.06999993,-104.5537554,WCI,526326.391,6436589.592,464.293,512,ML 5521,CIGAR,09-Apr-2016,,CL502B,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526326.391,6436589.592,464.293,,,,,NAD83_UTMZ13N,,
CL503,58.07045323,-104.5605215,WCI,525926.914,6436637.441,467.794,531,ML 5521,CIGAR,14-Apr-2016,,CL503,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525926.914,6436637.441,467.794,,,,,NAD83_UTMZ13N,,
CL504A,58.07028337,-104.5532696,WCI,526354.843,6436621.338,464.478,509,ML 5521,CIGAR,16-Apr-2016,,CL504A,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,526354.843,6436621.338,464.478,,,,,NAD83_UTMZ13N,,
CL505,58.07035669,-104.5610908,WCI,525893.395,6436626.475,468.719,501,ML 5521,CIGAR,21-Apr-2016,,CL505,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525893.395,6436626.475,468.719,,,,,NAD83_UTMZ13N,,
CL505_1,58.07035669,-104.5610908,WCI,525893.395,6436626.475,468.719,504,ML 5521,CIGAR,27-Apr-2016,,CL505_1,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525893.395,6436626.475,468.719,,,,,NAD83_UTMZ13N,,
CL506,58.07023105,-104.559336,WCI,525997.008,6436613.161,465.909,488,ML 5521,CIGAR,22-Apr-2016,,CL506,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525997.008,6436613.161,465.909,,,,,NAD83_UTMZ13N,,
CL507,58.07023105,-104.559336,WCI,525997.008,6436613.161,465.909,509,ML 5521,CIGAR,01-May-2016,,CL507,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525997.008,6436613.161,465.909,,,,,NAD83_UTMZ13N,,
CL508A,58.07014577,-104.5637071,WCI,525739.208,6436601.992,475.876,510,ML 5521,CIGAR,06-May-2016,,CL508A,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525739.208,6436601.992,475.876,,,,,NAD83_UTMZ13N,,
CL509,58.0702278,-104.5593349,WCI,525997.077,6436612.8,465.985,521,ML 5521,CIGAR,10-May-2016,,CL509,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525997.077,6436612.8,465.985,,,,,NAD83_UTMZ13N,,
CL510_1,58.07014577,-104.5637071,WCI,525739.208,6436601.992,475.876,501,ML 5521,CIGAR,19-May-2016,,CL510_1,,Unknown,,Complete,,WBL_EXP,NAD83_UTMZ13N_LEGACY,525739.208,6436601.992,475.876,,,,,NAD83_UTMZ13N,,
